,Year,Rank,Title,Artist
63,2012,4,Payphone,Maroon 5 Featuring Wiz Khalifa
64,2012,5,Lights,Ellie Goulding
65,2012,6,Glad You Came,The Wanted
66,2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson
67,2012,8,We Found Love,Rihanna Featuring Calvin Harris
68,2012,9,Starships,Nicki Minaj
69,2012,10,What Makes You Beautiful,One Direction
70,2013,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
71,2013,2,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
72,2013,3,Radioactive,Imagine Dragons
73,2013,4,Harlem Shake,Baauer
74,2013,5,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
75,2013,6,Mirrors,Justin Timberlake
76,2013,7,Just Give Me A Reason,P!nk Featuring Nate Ruess
77,2013,8,When I Was Your Man,Bruno Mars
78,2013,9,Cruise,Florida Georgia Line Featuring Nelly
79,2013,10,Roar,Katy Perry
80,2014,1,Happy,Pharrell Williams
81,2014,2,Dark Horse,Katy Perry Featuring Juicy J
82,2014,3,All Of Me,John Legend
83,2014,4,Fancy,Iggy Azalea Featuring Charli XCX
84,2014,5,Counting Stars,OneRepublic
85,2014,6,Talk Dirty,Jason Derulo Featuring 2 Chainz
86,2014,7,Rude,MAGIC!
87,2014,8,All About That Bass,Meghan Trainor
88,2014,9,Problem,Ariana Grande Featuring Iggy Azalea
89,2014,10,Stay With Me,Sam Smith
90,2015,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars
91,2015,2,Thinking Out Loud,Ed Sheeran
92,2015,3,See You Again,Wiz Khalifa Featuring Charlie Puth
93,2015,4,Trap Queen,Fetty Wap
94,2015,5,Sugar,Maroon 5
95,2015,6,Shut Up And Dance,WALK THE MOON
96,2015,7,Blank Space,Taylor Swift
97,2015,8,Watch Me,Silento
98,2015,9,Earned It (Fifty Shades Of Grey),The Weeknd
99,2015,10,The Hills,The Weeknd
100,2016,1,Love Yourself,Justin Bieber
101,2016,2,Sorry,Justin Bieber
102,2016,3,One Dance,Drake Featuring WizKid & Kyla
103,2016,4,Work,Rihanna Featuring Drake
104,2016,5,Stressed Out,twenty one pilots
105,2016,6,Panda,Desiigner
106,2016,7,Hello,Adele
107,2016,8,Don't Let Me Down,The Chainsmokers Featuring Daya
108,2016,9,Can't Stop The Feeling!,Justin Timberlake
109,2016,10,Closer,The Chainsmokers Featuring Halsey
110,2017,1,Shape Of You,Ed Sheeran
111,2017,2,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
112,2017,3,That's What I Like,Bruno Mars
113,2017,4,Humble.,Kendrick Lamar
114,2017,5,Something Just Like This,The Chainsmokers & Coldplay
115,2017,6,Bad And Boujee,Migos Featuring Lil Uzi Vert
116,2017,7,Closer,The Chainsmokers Featuring Halsey
117,2017,8,Body Like A Back Road,Sam Hunt
118,2017,9,Believer,Imagine Dragons
119,2017,10,Congratulations,Post Malone Featuring Quavo
120,2018,1,God's Plan,Drake
121,2018,2,Perfect,Ed Sheeran
122,2018,3,Meant To Be,Bebe Rexha & Florida Georgia Line
123,2018,4,Havana,Camila Cabello Featuring Young Thug
124,2018,5,Rockstar,Post Malone Featuring 21 Savage
125,2018,6,Psycho,Post Malone Featuring Ty Dolla $ign
126,2018,7,I Like It,"Cardi B, Bad Bunny & J Balvin"
127,2018,8,The Middle,"Zedd, Maren Morris & Grey"
128,2018,9,In My Feelings,Drake
129,2018,10,Girls Like You,Maroon 5 Featuring Cardi B
130,2019,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
131,2019,2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
132,2019,3,Without Me,Halsey
133,2019,4,Bad Guy,Billie Eilish
134,2019,5,Wow.,Post Malone
135,2019,6,Happier,Marshmello & Bastille
136,2019,7,7 Rings,Ariana Grande
137,2019,8,Talk,Khalid
138,2019,9,Sicko Mode,Travis Scott
139,2019,10,Sucker,Jonas Brothers
140,2020,1,Blinding Lights,The Weeknd
141,2020,2,Circles,Post Malone
142,2020,3,The Box,Roddy Ricch
143,2020,4,Don't Start Now,Dua Lipa
144,2020,5,Rockstar,DaBaby Featuring Roddy Ricch
145,2020,6,Adore You,Harry Styles
146,2020,7,Life Is Good,Future Featuring Drake
147,2020,8,Memories,Maroon 5
148,2020,9,The Bones,Maren Morris
149,2020,10,Someone You Loved,Lewis Capaldi
150,2021,1,Levitating,Dua Lipa
151,2021,2,Save Your Tears,The Weeknd & Ariana Grande
152,2021,3,Blinding Lights,The Weeknd
153,2021,4,Mood,24kGoldn Featuring iann dior
154,2021,5,Good 4 U,Olivia Rodrigo
155,2021,6,Kiss Me More,Doja Cat Featuring SZA
156,2021,7,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
157,2021,8,Drivers License,Olivia Rodrigo
158,2021,9,Montero (Call Me By Your Name),Lil Nas X
159,2021,10,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
160,2022,1,Heat Waves,Glass Animals
161,2022,2,As It Was,Harry Styles
162,2022,3,Stay,The Kid LAROI & Justin Bieber
163,2022,4,Easy On Me,Adele
164,2022,5,Shivers,Ed Sheeran
165,2022,6,First Class,Jack Harlow
166,2022,7,Big Energy,Latto
167,2022,8,Ghost,Justin Bieber
168,2022,9,Super Gremlin,Kodak Black
169,2022,10,Cold Heart (PNAU Remix),Elton John & Dua Lipa
170,2023,1,Last Night,Morgan Wallen
171,2023,2,Flowers,Miley Cyrus
172,2023,3,Kill Bill,SZA
173,2023,4,Anti-Hero,Taylor Swift
174,2023,5,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
175,2023,6,Calm Down,Rema & Selena Gomez
176,2023,7,Die For You,The Weeknd & Ariana Grande
177,2023,8,Fast Car,Luke Combs
178,2023,9,Snooze,SZA
179,2023,10,I'm Good (Blue),David Guetta & Bebe Rexha
